RESULT_ID            START_TIME           GAME_TIME            COMPLEXITY           UNRAVELED_NUMBERS    NUMBERS_TO_WIN       JOKE_ID              
1                    2022-05-28 21:30:59  02:20                easy                 15                   15                   1                    
2                    2022-05-28 21:34:55  00:17                easy                 10                   15                   0                    
3                    2022-05-28 21:36:05  03:12                hard                 11                   45                   2                    
4                    2022-05-28 21:36:05  09:43                medium               30                   30                   2                    
5                    2022-05-29 13:52:06  00:27                easy                 15                   15                   1                    
6                    2022-05-29 13:54:57  01:21                easy                 15                   15                   1                    
7                    2022-05-29 14:14:03  00:02                hard                 0                    45                   0                    
8                    2022-05-29 14:21:42  00:10                easy                 0                    15                   0                    
9                    2022-05-29 14:24:36  00:09                medium               0                    30                   0                    
10                   2022-05-29 14:25:21  00:07                medium               0                    30                   0                    
11                   2022-05-29 14:27:42  00:13                medium               0                    30                   0                    
12                   2022-05-29 14:28:54  00:09                medium               0                    30                   0                    
13                   2022-05-29 14:36:50  00:31                easy                 15                   15                   1                    
14                   2022-05-29 14:39:20  01:03                easy                 3                    15                   0                    
15                   2022-05-29 14:40:02  00:16                easy                 1                    15                   0                    
16                   2022-05-29 16:21:30  01:47                easy                 15                   15                   1                    
17                   2022-05-29 16:21:34  00:03                easy                 15                   15                   1                    
18                   2022-05-29 16:25:56  00:04                easy                 15                   15                   2                    
19                   2022-05-29 16:31:57  00:10                easy                 0                    15                   0                    
20                   2022-05-29 16:33:03  00:05                easy                 0                    15                   0                    
21                   2022-05-29 16:33:42  00:15                easy                 0                    15                   0                    
22                   2022-05-29 16:34:19  00:10                easy                 0                    15                   0                    
23                   2022-05-29 16:34:55  00:06                easy                 0                    15                   0                    
24                   2022-05-29 16:35:16  00:02                easy                 0                    15                   0                    
25                   2022-05-29 16:35:27  00:03                easy                 0                    15                   0                    
26                   2022-05-29 16:35:32  00:08                easy                 0                    15                   0                    
27                   2022-05-30 13:57:30  01:47                easy                 15                   15                   14                   
28                   2022-05-30 17:23:02  01:03                easy                 11                   15                   0                    
29                   2022-05-30 17:23:10  01:11                easy                 11                   15                   0                    
30                   2022-05-30 17:27:17  00:02                easy                 0                    15                   0                    
31                   2022-05-30 17:27:21  00:05                easy                 0                    15                   0                    
32                   2022-05-30 19:40:00  02:22                easy                 15                   15                   30                   
33                   2022-05-30 19:40:16  00:15                easy                 15                   15                   30                   
34                   2022-05-30 19:41:08  00:20                hard                 15                   45                   30                   
